ts,iso,side,price,qty,setup,score,regime,atrScale,hwmScale,setup11TradeId
1724116500000,2024-08-20T01:15:00.000Z,SHORT,60574.98,0.001000,aggS(9),9,BEAR,0.825,1.000,
1724166900000,2024-08-20T15:15:00.000Z,LONG,59171.97,0.001000,agg(9),9,BEAR,0.731,1.000,
1724270400000,2024-08-21T20:00:00.000Z,SHORT,61799.01,0.001000,aggS(9),9,BEAR,0.748,1.000,
1724295600000,2024-08-22T03:00:00.000Z,LONG,60175.9,0.001000,agg(9),9,BEAR,0.925,1.000,
1724436000000,2024-08-23T18:00:00.000Z,SHORT,63105.93,0.001000,aggS(9),9,BEAR,0.724,1.000,
1724448600000,2024-08-23T21:30:00.000Z,SHORT,64399.74,0.001000,aggS(9),9,BEAR,0.711,1.000,
1724795100000,2024-08-27T21:45:00.000Z,LONG,60225.76,0.001000,agg(9),9,BEAR,0.923,1.000,
1724862600000,2024-08-28T16:30:00.000Z,LONG,58319.14,0.001000,agg(9),9,BEAR,0.630,1.000,
1725030000000,2024-08-30T15:00:00.000Z,LONG,58492,0.001000,agg(9),9,BEAR,0.791,1.000,
1725200100000,2024-09-01T14:15:00.000Z,LONG,57807.95,0.001000,agg(9),9,BEAR,0.956,1.000,
1725372900000,2024-09-03T14:15:00.000Z,LONG,57927.01,0.001000,agg(9),9,BEAR,1.064,1.000,
1725412500000,2024-09-04T01:15:00.000Z,LONG,56121.11,0.008950,agg(11),11,BEAR,0.688,1.000,
1725633000000,2024-09-06T14:30:00.000Z,LONG,54843,0.001000,agg(9),9,BEAR,0.565,1.000,
1725656400000,2024-09-06T21:00:00.000Z,LONG,53093,0.001000,agg(9),9,BEAR,0.494,1.000,
1725917400000,2024-09-09T21:30:00.000Z,SHORT,57580.01,0.001000,aggS(9),9,BEAR,0.784,1.000,
1726242300000,2024-09-13T15:45:00.000Z,SHORT,59616.36,0.001000,aggS(9),9,BEAR,0.903,1.000,
1727795700000,2024-10-01T15:15:00.000Z,LONG,62239.55,0.004745,agg(10),10,BEAR,0.791,1.000,
1727803800000,2024-10-01T17:30:00.000Z,LONG,61726,0.001000,agg(9),9,BEAR,0.621,1.000,
1727815500000,2024-10-01T20:45:00.000Z,LONG,60745.49,0.001000,agg(9),9,BEAR,0.574,1.000,
1727897400000,2024-10-02T19:30:00.000Z,LONG,60300,0.001000,agg(9),9,BEAR,0.669,1.000,
1728584100000,2024-10-10T18:15:00.000Z,LONG,59126.74,0.001000,agg(9),9,BEAR,0.783,1.000,
1729879200000,2024-10-25T18:00:00.000Z,LONG,66624.01,0.001000,agg(9),9,RANGE,0.858,1.000,
1730169000000,2024-10-29T02:30:00.000Z,SHORT,71356,0.001000,aggS(9),9,RANGE,0.950,1.000,
1730384100000,2024-10-31T14:15:00.000Z,LONG,71260,0.001248,agg(9),9,RANGE,1.248,1.000,
1730427300000,2024-11-01T02:15:00.000Z,LONG,69258.01,0.001000,agg(9),9,RANGE,0.872,1.000,
1730476800000,2024-11-01T16:00:00.000Z,LONG,69708.91,0.001000,agg(9),9,RANGE,0.645,1.000,
1731408300000,2024-11-12T10:45:00.000Z,LONG,85479.98,0.001000,agg(9),9,BULL,0.518,1.000,
1731596400000,2024-11-14T15:00:00.000Z,LONG,89115.98,0.001000,agg(9),9,BULL,0.556,1.000,
1731935700000,2024-11-18T13:15:00.000Z,LONG,89748.05,0.001000,agg(9),9,BULL,0.879,1.000,
1731944700000,2024-11-18T15:45:00.000Z,LONG,92068,0.004370,S10,3,BULL,0.624,1.000,
1732452300000,2024-11-24T12:45:00.000Z,LONG,96587.97,0.001384,agg(9),9,BULL,1.384,1.000,
1732545900000,2024-11-25T14:45:00.000Z,LONG,96199.97,0.001129,agg(9),9,BULL,1.129,1.000,
1732609800000,2024-11-26T08:30:00.000Z,LONG,92400.08,0.001000,agg(9),9,BULL,0.855,1.000,
1733112000000,2024-12-02T04:00:00.000Z,LONG,96488.27,0.001181,agg(9),9,RANGE,1.181,1.000,
1733150700000,2024-12-02T14:45:00.000Z,SHORT,96475.91,0.001045,aggS(9),9,RANGE,1.045,1.000,
1733343300000,2024-12-04T20:15:00.000Z,SHORT,98491.99,0.001000,aggS(9),9,RANGE,0.849,1.000,
1733366700000,2024-12-05T02:45:00.000Z,SHORT,101249.26,0.007929,aggS(10),10,RANGE,0.661,1.000,
1733413500000,2024-12-05T15:45:00.000Z,LONG,101116.03,0.001000,agg(9),9,RANGE,0.685,1.000,
1733778000000,2024-12-09T21:00:00.000Z,LONG,94808.63,0.001000,agg(9),9,BULL,0.735,1.000,
1733846400000,2024-12-10T16:00:00.000Z,LONG,95769.83,0.001000,agg(9),9,BULL,0.674,1.000,
1734305400000,2024-12-15T23:30:00.000Z,LONG,104682.51,0.001080,S11,3,BULL,1.080,1.000,s11_1734305400000_104682
1734552000000,2024-12-18T20:00:00.000Z,LONG,102260.46,0.001000,agg(9),9,BULL,0.752,1.000,
1734574500000,2024-12-19T02:15:00.000Z,LONG,99814.41,0.001000,agg(9),9,BULL,0.622,1.000,
1734622200000,2024-12-19T15:30:00.000Z,LONG,99816.73,0.001000,agg(9),9,BULL,0.804,1.000,
1734632100000,2024-12-19T18:15:00.000Z,LONG,97485,0.001000,agg(9),9,BULL,0.543,1.000,
1734637500000,2024-12-19T19:45:00.000Z,LONG,96825.54,0.001000,agg(9),9,BULL,0.484,1.000,
1734689700000,2024-12-20T10:15:00.000Z,LONG,94702.01,0.007201,agg(10),10,BULL,0.600,1.000,
1734787800000,2024-12-21T13:30:00.000Z,LONG,96798.14,0.001000,agg(9),9,BULL,0.960,1.000,
1734877800000,2024-12-22T14:30:00.000Z,LONG,95704.02,0.001205,agg(9),9,BULL,1.205,1.000,
1734965100000,2024-12-23T14:45:00.000Z,LONG,93943.99,0.001000,agg(9),9,BULL,0.812,1.000,
1735200900000,2024-12-26T08:15:00.000Z,LONG,96374.97,0.001121,agg(9),9,BULL,1.121,1.000,
1735285500000,2024-12-27T07:45:00.000Z,LONG,95174.43,0.001111,agg(9),9,BULL,1.111,1.000,
1735310700000,2024-12-27T14:45:00.000Z,LONG,95223.19,0.001000,agg(9),9,BULL,0.974,1.000,
1735569900000,2024-12-30T14:45:00.000Z,LONG,92271.29,0.001090,agg(9),9,RANGE,1.090,1.000,
1735633800000,2024-12-31T08:30:00.000Z,SHORT,94333.35,0.001256,aggS(9),9,RANGE,1.256,1.000,
1736948700000,2025-01-15T13:45:00.000Z,SHORT,98939.61,0.001155,aggS(9),9,RANGE,1.155,1.000,
1737316800000,2025-01-19T20:00:00.000Z,SHORT,106357.57,0.001186,aggS(9),9,RANGE,1.186,1.000,
1737324000000,2025-01-19T22:00:00.000Z,LONG,103084.52,0.001000,agg(9),9,RANGE,0.725,1.000,
1737328500000,2025-01-19T23:15:00.000Z,LONG,100551.86,0.005235,agg(10),10,RANGE,0.436,1.000,
1737388800000,2025-01-20T16:00:00.000Z,LONG,105480,0.001000,agg(9),9,RANGE,0.480,1.000,
1737421200000,2025-01-21T01:00:00.000Z,LONG,101926,0.001000,agg(9),9,BULL,0.420,1.000,
1737666000000,2025-01-23T21:00:00.000Z,LONG,103102.85,0.001000,agg(9),9,BULL,0.400,1.000,
1737933300000,2025-01-26T23:15:00.000Z,LONG,103124.84,0.001500,agg(9),9,BULL,1.500,1.000,
1737939600000,2025-01-27T01:00:00.000Z,LONG,101972.1,0.001034,agg(9),9,BULL,1.034,1.000,
1737960300000,2025-01-27T06:45:00.000Z,LONG,98926.83,0.001000,agg(9),9,BULL,0.785,1.000,
1738349100000,2025-01-31T18:45:00.000Z,LONG,103027.99,0.001000,agg(9),9,BULL,0.940,1.000,
1738519200000,2025-02-02T18:00:00.000Z,LONG,97385.86,0.001000,agg(9),9,BULL,0.861,1.000,
1738547100000,2025-02-03T01:45:00.000Z,LONG,93359.99,0.004872,agg(10),10,RANGE,0.406,1.000,
1738596600000,2025-02-03T15:30:00.000Z,SHORT,98342.3,0.005864,aggS(10),10,RANGE,0.489,1.000,
1740495600000,2025-02-25T15:00:00.000Z,LONG,86944.22,0.001000,agg(9),9,RANGE,0.524,1.000,
1740579300000,2025-02-26T14:15:00.000Z,LONG,86206.28,0.001000,agg(9),9,RANGE,0.899,1.000,
1740594600000,2025-02-26T18:30:00.000Z,LONG,85088,0.001000,agg(9),9,RANGE,0.483,1.000,
1740668400000,2025-02-27T15:00:00.000Z,LONG,84955.65,0.001000,agg(9),9,RANGE,0.663,1.000,
1740707100000,2025-02-28T01:45:00.000Z,LONG,82272.22,0.001000,agg(9),9,RANGE,0.575,1.000,
1740710700000,2025-02-28T02:45:00.000Z,LONG,79799.91,0.010400,agg(11),11,RANGE,0.400,1.000,
1740935700000,2025-03-02T17:15:00.000Z,LONG,92461.66,0.002908,S10,1,RANGE,0.415,1.000,
1741013100000,2025-03-03T14:45:00.000Z,LONG,91110.55,0.001000,agg(9),9,RANGE,0.582,1.000,
1741032000000,2025-03-03T20:00:00.000Z,LONG,85942.42,0.004800,agg(10),10,RANGE,0.400,1.000,
1741052700000,2025-03-04T01:45:00.000Z,LONG,82835.99,0.001000,agg(9),9,RANGE,0.406,1.000,
1741115700000,2025-03-04T19:15:00.000Z,SHORT,88056.82,0.004800,aggS(10),10,RANGE,0.400,1.000,
1741170600000,2025-03-05T10:30:00.000Z,SHORT,90327.01,0.001000,aggS(9),9,RANGE,0.867,1.000,
1741272300000,2025-03-06T14:45:00.000Z,LONG,89725.97,0.001000,agg(9),9,RANGE,0.731,1.000,
1741307400000,2025-03-07T00:30:00.000Z,LONG,87033.7,0.004803,agg(10),10,RANGE,0.400,1.000,
1741616100000,2025-03-10T14:15:00.000Z,LONG,79733.99,0.001000,agg(9),9,BEAR,0.442,1.000,
1741653000000,2025-03-11T00:30:00.000Z,LONG,77063.55,0.002907,agg(10),10,BEAR,0.484,1.000,
1742141700000,2025-03-16T16:15:00.000Z,SHORT,84287.14,0.001000,aggS(9),9,RANGE,0.824,1.000,
1743585300000,2025-04-02T09:15:00.000Z,SHORT,85121.57,0.001292,aggS(9),9,BEAR,1.292,1.000,
1743608700000,2025-04-02T15:45:00.000Z,SHORT,86911.2,0.001000,aggS(9),9,BEAR,0.792,1.000,
1743624900000,2025-04-02T20:15:00.000Z,SHORT,87922,0.001000,aggS(9),9,BEAR,0.678,1.000,
1744007400000,2025-04-07T06:30:00.000Z,LONG,75386.05,0.001000,agg(9),9,BEAR,0.488,1.000,
1744035300000,2025-04-07T14:15:00.000Z,SHORT,80243.1,0.010000,aggS(11),11,BEAR,0.400,1.000,
1744162200000,2025-04-09T01:30:00.000Z,LONG,75405.05,0.003483,agg(10),10,BEAR,0.580,1.000,
1744220700000,2025-04-09T17:45:00.000Z,SHORT,81356,0.001000,aggS(9),9,BEAR,0.410,1.000,
